DATE,IHLIDXUSTPRETA
2022-12-06,144.83
2022-12-07,144.27
2022-12-08,143.68
2022-12-09,143.6
2022-12-10,143.38
2022-12-11,143.21
2022-12-12,143.06
2022-12-13,143.11
2022-12-14,143.63
2022-12-15,144.46
2022-12-16,144.68
2022-12-17,145.55
2022-12-18,146.11
2022-12-19,146.57
2022-12-20,146.68
2022-12-21,146.67
2022-12-22,146.61
2022-12-23,145.88
2022-12-24,144.93
2022-12-25,143.99
2022-12-26,143.06
2022-12-27,142.41
2022-12-28,141.69
2022-12-29,140.64
2022-12-30,140.13
2022-12-31,139.23
2023-01-01,138.12
2023-01-02,136.57
2023-01-03,134.74
2023-01-04,132.64
2023-01-05,130.86
2023-01-06,129.39
2023-01-07,128.5
2023-01-08,127.96
2023-01-09,127.85
2023-01-10,128.11
2023-01-11,128.68
2023-01-12,129.15
2023-01-13,129.52
2023-01-14,129.56
2023-01-15,129.42
2023-01-16,129.36
2023-01-17,128.96
2023-01-18,128.72
2023-01-19,128.54
2023-01-20,128.28
2023-01-21,127.97
2023-01-22,127.69
2023-01-23,127.27
2023-01-24,126.99
2023-01-25,126.6
2023-01-26,126.12
2023-01-27,125.75
2023-01-28,125.42
2023-01-29,125.12
2023-01-30,124.88
2023-01-31,124.61
2023-02-01,124.24
2023-02-02,123.92
2023-02-03,123.56
2023-02-04,123.34
2023-02-05,122.98
2023-02-06,122.54
2023-02-07,122.25
2023-02-08,121.76
2023-02-09,121.29
2023-02-10,120.55
2023-02-11,119.85
2023-02-12,119.26
2023-02-13,118.8
2023-02-14,118.36
2023-02-15,118.48
2023-02-16,118.48
2023-02-17,118.82
2023-02-18,118.77
2023-02-19,118.86
2023-02-20,119.02
2023-02-21,119.07
2023-02-22,118.87
2023-02-23,118.8
2023-02-24,118.59
2023-02-25,118.69
2023-02-26,118.66
2023-02-27,118.51
2023-02-28,118.38
2023-03-01,117.97
2023-03-02,117.61
2023-03-03,117.39
2023-03-04,117.16
2023-03-05,116.96
2023-03-06,116.7
2023-03-07,116.35
2023-03-08,116.19
2023-03-09,116.02
2023-03-10,116.41
2023-03-11,116.98
2023-03-12,117.43
2023-03-13,117.78
2023-03-14,118.22
2023-03-15,118.93
2023-03-16,119.51
2023-03-17,119.56
2023-03-18,119.5
2023-03-19,119.48
2023-03-20,119.58
2023-03-21,119.7
2023-03-22,119.62
2023-03-23,119.58
2023-03-24,119.38
2023-03-25,119.08
2023-03-26,118.84
2023-03-27,118.62
2023-03-28,118.39
2023-03-29,117.97
2023-03-30,117.9
2023-03-31,118.15
2023-04-01,118.28
2023-04-02,118.53
2023-04-03,118.69
2023-04-04,119.04
2023-04-05,119.65
2023-04-06,119.9
2023-04-07,119.99
2023-04-08,120.32
2023-04-09,120.44
2023-04-10,120.69
2023-04-11,120.77
2023-04-12,120.78
2023-04-13,120.85
2023-04-14,120.81
2023-04-15,120.7
2023-04-16,120.89
2023-04-17,121.03
2023-04-18,121.14
2023-04-19,121.32
2023-04-20,121.51
2023-04-21,121.76
2023-04-22,122.1
2023-04-23,122.2
2023-04-24,122.26
2023-04-25,122.28
2023-04-26,122.32
2023-04-27,122.33
2023-04-28,122.24
2023-04-29,122.25
2023-04-30,122.17
2023-05-01,122.09
2023-05-02,122.09
2023-05-03,121.64
2023-05-04,121.12
2023-05-05,121.15
2023-05-06,121.08
2023-05-07,121.04
2023-05-08,121.07
2023-05-09,121.05
2023-05-10,121.49
2023-05-11,122.1
2023-05-12,121.9
2023-05-13,121.99
2023-05-14,122.09
2023-05-15,122.2
2023-05-16,122.46
2023-05-17,122.74
2023-05-18,122.88
2023-05-19,123.21
2023-05-20,123.32
2023-05-21,123.46
2023-05-22,123.62
2023-05-23,123.44
2023-05-24,123.28
2023-05-25,123.11
2023-05-26,123.24
2023-05-27,123.35
2023-05-28,123.41
2023-05-29,123.52
2023-05-30,123.78
2023-05-31,123.96
2023-06-01,124.06
2023-06-02,124.18
2023-06-03,124.2
2023-06-04,124.2
2023-06-05,124.11
2023-06-06,123.89
2023-06-07,123.67
2023-06-08,123.46
2023-06-09,123.01
2023-06-10,122.39
2023-06-11,121.93
2023-06-12,121.54
2023-06-13,121.45
2023-06-14,121.4
2023-06-15,121.38
2023-06-16,121.56
2023-06-17,121.88
2023-06-18,122.31
2023-06-19,122.56
2023-06-20,122.68
2023-06-21,122.55
2023-06-22,122.52
2023-06-23,122.44
2023-06-24,122.81
2023-06-25,123.13
2023-06-26,123.49
2023-06-27,123.91
2023-06-28,124.49
2023-06-29,125.12
2023-06-30,125.44
2023-07-01,125.16
2023-07-02,124.78
2023-07-03,124.64
2023-07-04,124.39
2023-07-05,124.42
2023-07-06,124.22
2023-07-07,124.34
2023-07-08,124.66
2023-07-09,124.88
2023-07-10,124.99
2023-07-11,125.23
2023-07-12,125.22
2023-07-13,125.28
2023-07-14,125.49
2023-07-15,125.56
2023-07-16,125.63
