DATE,IHLIDXUSTPMARK
2023-03-20,101.05
2023-03-21,100.97
2023-03-22,100.77
2023-03-23,100.7
2023-03-24,100.39
2023-03-25,100.04
2023-03-26,99.78
2023-03-27,99.5
2023-03-28,99.23
2023-03-29,98.98
2023-03-30,98.88
2023-03-31,98.7
2023-04-01,98.51
2023-04-02,98.36
2023-04-03,98.2
2023-04-04,98.16
2023-04-05,98.11
2023-04-06,98.01
2023-04-07,98.01
2023-04-08,98.03
2023-04-09,97.93
2023-04-10,97.86
2023-04-11,97.57
2023-04-12,97.47
2023-04-13,97.33
2023-04-14,97.13
2023-04-15,96.76
2023-04-16,96.42
2023-04-17,96.37
2023-04-18,96.44
2023-04-19,96.23
2023-04-20,96.02
2023-04-21,95.93
2023-04-22,96.15
2023-04-23,96.28
2023-04-24,96.15
2023-04-25,95.95
2023-04-26,95.91
2023-04-27,95.83
2023-04-28,95.72
2023-04-29,95.45
2023-04-30,95.15
2023-05-01,94.84
2023-05-02,94.59
2023-05-03,94.33
2023-05-04,93.95
2023-05-05,93.86
2023-05-06,93.81
2023-05-07,93.87
2023-05-08,93.89
2023-05-09,93.89
2023-05-10,93.91
2023-05-11,94.07
2023-05-12,93.49
2023-05-13,93.41
2023-05-14,93.13
2023-05-15,92.88
2023-05-16,92.47
2023-05-17,92.13
2023-05-18,91.76
2023-05-19,91.68
2023-05-20,91.17
2023-05-21,90.88
2023-05-22,90.59
2023-05-23,90.34
2023-05-24,90.18
2023-05-25,90.03
2023-05-26,90.01
2023-05-27,90.05
2023-05-28,89.99
2023-05-29,89.95
2023-05-30,90.01
2023-05-31,89.84
2023-06-01,89.67
2023-06-02,89.48
2023-06-03,89.19
2023-06-04,88.89
2023-06-05,88.65
2023-06-06,88.55
2023-06-07,88.5
2023-06-08,88.51
2023-06-09,88.55
2023-06-10,88.57
2023-06-11,88.67
2023-06-12,88.64
2023-06-13,88.46
2023-06-14,88.25
2023-06-15,87.9
2023-06-16,87.48
2023-06-17,87.19
2023-06-18,86.93
2023-06-19,86.73
2023-06-20,86.6
2023-06-21,86.44
2023-06-22,86.61
2023-06-23,86.65
2023-06-24,86.67
2023-06-25,86.7
2023-06-26,86.73
2023-06-27,86.77
2023-06-28,86.86
2023-06-29,86.7
2023-06-30,86.67
2023-07-01,86.54
2023-07-02,86.4
2023-07-03,86.26
2023-07-04,86.1
2023-07-05,86.01
2023-07-06,85.92
2023-07-07,85.87
2023-07-08,85.9
2023-07-09,85.87
2023-07-10,85.86
2023-07-11,85.84
2023-07-12,85.81
2023-07-13,85.86
2023-07-14,85.9
2023-07-15,85.9
2023-07-16,85.89
